FIPS,City Name,,Population,Growth,Adjusted Land Area,Density,,Total Acres,% Natural,% Designed,Total Park Units,"Acres per 1,000 people","Parks per 10,000 residents",Parks as % City Area
,,,,,,,,,,,,,,
3502000,"Albuquerque, NM",," 553,345 ",Medium Fast," 113,711 ",Medium-Low,," 21,528 ",85%,15%, 315 , 38.9 , 5.7 ,19%
0602000,"Anaheim, CA",," 345,538 ",Limited or Decline," 32,176 ",High,," 4,611 ",86%,14%, 65 , 13.3 , 1.9 ,14%
0203000,"Anchorage, AK",," 288,464 ",Medium Slow," 1,087,624 ",Low,," 871,795 ",100%,0%, 224 ," 3,022.2 ", 7.8 ,80%
4804000,"Arlington, TX",," 397,158 ",Medium Fast," 60,824 ",Medium-Low,," 4,317 ",33%,67%, 100 , 10.9 , 2.5 ,7%
5103000,"Arlington, VA",," 245,695 ",Medium Fast," 15,918 ",High,," 1,785 ",48%,52%, 148 , 7.3 , 6.0 ,11%
1304000,"Atlanta, GA",," 518,472 ",Medium Fast," 85,564 ",Medium-Low,," 5,448 ",28%,72%, 378 , 10.5 , 7.3 ,6%
0804000,"Aurora, CO",," 391,470 ",Medium Fast," 105,266 ",Low,," 8,684 ",67%,33%, 116 , 22.2 , 3.0 ,8%
4805000,"Austin, TX",," 973,671 ",Very Fast," 172,115 ",Medium-Low,," 19,228 ",77%,23%, 345 , 19.7 , 3.5 ,11%
0603526,"Bakersfield, CA",," 411,973 ",Very Fast," 95,768 ",Medium-Low,," 5,364 ",77%,23%, 72 , 13.0 , 1.7 ,6%
2404000,"Baltimore, MD",," 573,724 ",Limited or Decline," 51,319 ",High,," 4,902 ",58%,42%, 330 , 8.5 , 5.8 ,10%
2205000,"Baton Rouge, LA",," 227,382 ",Limited or Decline," 55,041 ",Medium-Low,," 1,455 ",9%,91%, 175 , 6.4 , 7.7 ,3%
PS1608830,"Boise, ID",," 236,389 ",Medium Fast," 52,046 ",Medium-Low,," 4,322 ",58%,42%, 146 , 18.3 , 6.2 ,8%
2507000,"Boston, MA",," 684,994 ",Medium Slow," 29,222 ",High,," 5,158 ",36%,64%, 349 , 7.5 , 5.1 ,18%
3611000,"Buffalo, NY",," 281,655 ",Limited or Decline," 25,304 ",High,," 2,384 ",21%,79%, 214 , 8.5 , 7.6 ,9%
0412000,"Chandler, AZ",," 279,357 ",Very Fast," 41,502 ",Medium-Low,," 1,518 ",13%,87%, 69 , 5.4 , 2.5 ,4%
PS3712000,"Charlotte/Mecklenburg, NC",," 1,170,986 ",Very Fast," 331,778 ",Low,," 22,755 ",45%,55%, -   , 19.4 , -   ,7%
5116000,"Chesapeake, VA",," 256,498 ",Medium Fast," 216,010 ",Low,," 58,966 ",98%,2%, 88 , 229.9 , 3.4 ,27%
1714000,"Chicago, IL",," 2,730,799 ",Limited or Decline," 136,157 ",High,," 13,821 ",33%,67%, 645 , 5.1 , 2.4 ,10%
0613392,"Chula Vista, CA",," 277,559 ",Very Fast," 31,767 ",Medium-High,," 2,482 ",78%,22%, 68 , 8.9 , 2.4 ,8%
3915000,"Cincinnati, OH",," 308,576 ",Limited or Decline," 48,681 ",Medium-Low,," 7,799 ",61%,39%, 282 , 25.3 , 9.1 ,16%
3916000,"Cleveland, OH",," 369,937 ",Limited or Decline," 46,894 ",Medium-High,," 3,273 ",48%,52%, 169 , 8.8 , 4.6 ,7%
0816000,"Colorado Springs, CO",," 482,560 ",Medium Fast," 125,688 ",Low,," 15,275 ",79%,21%, 248 , 31.7 , 5.1 ,12%
3918000,"Columbus, OH",," 872,090 ",Medium Fast," 137,266 ",Medium-Low,," 15,638 ",38%,62%, 415 , 17.9 , 4.8 ,11%
4817000,"Corpus Christi, TX",," 319,188 ",Medium Slow," 102,323 ",Low,," 7,077 ",70%,30%, 194 , 22.2 , 6.1 ,7%
4819000,"Dallas, TX",," 1,307,764 ",Medium Slow," 215,178 ",Medium-Low,," 21,227 ",52%,48%, 412 , 16.2 , 3.2 ,10%
0820000,"Denver, CO",," 737,871 ",Medium Fast," 74,662 ",High,," 7,090 ",38%,62%, 322 , 9.6 , 4.4 ,9%
2622000,"Detroit, MI",," 633,883 ",Limited or Decline," 87,833 ",Medium-High,," 5,102 ",20%,80%, 304 , 8.0 , 4.8 ,6%
3719000,"Durham, NC",," 297,524 ",Very Fast," 74,948 ",Medium-Low,," 2,756 ",90%,10%, -   , 9.3 , -   ,4%
4824000,"El Paso, TX",," 677,078 ",Medium Fast," 162,503 ",Medium-Low,," 29,472 ",91%,9%, 252 , 43.5 , 3.7 ,18%
4827000,"Fort Worth, TX",," 959,408 ",Very Fast," 219,834 ",Medium-Low,," 12,766 ",36%,64%, 298 , 13.3 , 3.1 ,6%
0626000,"Fremont, CA",," 234,614 ",Medium Slow," 49,927 ",Medium-Low,," 21,957 ",91%,9%, 74 , 93.6 , 3.2 ,44%
0627000,"Fresno, CA",," 512,719 ",Medium Fast," 72,537 ",Medium-High,," 2,481 ",26%,74%, 167 , 4.8 , 3.3 ,3%
4829000,"Garland, TX",," 250,176 ",Medium Slow," 36,377 ",Medium-Low,," 2,951 ",76%,24%, 61 , 11.8 , 2.4 ,8%
0427400,"Gilbert, AZ",," 278,380 ",Very Fast," 43,915 ",Medium-Low,," 1,348 ",58%,42%, 41 , 4.8 , 1.5 ,3%
0427820,"Glendale, AZ",," 256,276 ",Medium Slow," 42,928 ",Medium-Low,," 2,100 ",56%,44%, 74 , 8.2 , 2.9 ,5%
PS3728000,"Greensboro, NC",," 276,193 ",Medium Fast," 84,664 ",Low,," 8,360 ",67%,33%, 210 , 30.3 , 7.6 ,10%
3231900,"Henderson, NV",," 340,256 ",Very Fast," 67,195 ",Medium-Low,," 5,548 ",75%,25%, 73 , 16.3 , 2.1 ,8%
PS1571550,"Honolulu, HI",," 1,017,394 ",Medium Slow," 377,784 ",Low,," 66,463 ",92%,8%, 402 , 65.3 , 4.0 ,18%
PS4835000,"Houston, TX",," 2,275,767 ",Medium Slow," 351,870 ",Medium-Low,," 45,059 ",41%,59%, 703 , 19.8 , 3.1 ,13%
0636770,"Irvine, CA",," 323,475 ",Very Fast," 41,991 ",Medium-High,," 11,008 ",67%,33%, 341 , 34.0 , 10.5 ,26%
4837000,"Irving, TX",," 259,205 ",Medium Fast," 36,696 ",Medium-High,," 1,980 ",22%,78%, 101 , 7.6 , 3.9 ,5%
1235000,"Jacksonville, FL",," 987,087 ",Medium Fast," 464,885 ",Low,," 84,524 ",90%,10%, 414 , 85.6 , 4.2 ,18%
3436000,"Jersey City, NJ",," 309,685 ",Medium Fast," 9,231 ",High,," 1,091 ",42%,58%, 73 , 3.5 , 2.4 ,12%
2938000,"Kansas City, MO",," 522,525 ",Medium Slow," 191,333 ",Low,," 19,016 ",55%,45%, 221 , 36.4 , 4.2 ,10%
4841464,"Laredo, TX",," 257,795 ",Very Fast," 66,883 ",Low,," 2,447 ",45%,55%, 105 , 9.5 , 4.1 ,4%
3240000,"Las Vegas, NV",," 631,154 ",Medium Fast," 90,785 ",Medium-High,," 14,972 ",90%,10%, 117 , 23.7 , 1.9 ,16%
2146027,"Lexington/Fayette, KY",," 327,401 ",Medium Fast," 181,022 ",Low,," 4,410 ",23%,77%, 101 , 13.5 , 3.1 ,2%
PS3128000,"Lincoln, NE",," 286,381 ",Medium Fast," 61,107 ",Medium-Low,," 3,830 ",16%,84%, 150 , 13.4 , 5.2 ,6%
0643000,"Long Beach, CA",," 460,718 ",Limited or Decline," 31,393 ",High,," 3,034 ",20%,80%, 166 , 6.6 , 3.6 ,10%
0644000,"Los Angeles, CA",," 3,903,310 ",Limited or Decline," 296,527 ",High,," 39,628 ",70%,30%, 14 , 10.2 , 0.0 ,13%
2148006,"Louisville, KY",," 643,855 ",Limited or Decline," 204,501 ",Low,," 17,862 ",63%,37%, 132 , 27.7 , 2.1 ,9%
4845000,"Lubbock, TX",," 262,327 ",Medium Fast," 89,005 ",Low,," 3,482 ",31%,69%, 83 , 13.3 , 3.2 ,4%
5548000,"Madison, WI",," 270,742 ",Medium Fast," 52,613 ",Medium-Low,," 7,075 ",22%,78%, 280 , 26.1 , 10.3 ,13%
4748000,"Memphis, TN",," 623,337 ",Limited or Decline," 184,089 ",Low,," 11,645 ",18%,82%, 202 , 18.7 , 3.2 ,6%
0446000,"Mesa, AZ",," 513,964 ",Medium Fast," 88,306 ",Medium-Low,," 2,516 ",14%,86%, 223 , 4.9 , 4.3 ,3%
1245000,"Miami, FL",," 454,981 ",Medium Fast," 23,029 ",High,," 1,622 ",39%,61%, 1 , 3.6 , 0.0 ,7%
5553000,"Milwaukee, WI",," 573,214 ",Limited or Decline," 59,032 ",Medium-High,," 5,603 ",49%,51%, 238 , 9.8 , 4.2 ,9%
2743000,"Minneapolis, MN",," 434,200 ",Medium Slow," 33,953 ",High,," 5,090 ",30%,70%, 179 , 11.7 , 4.1 ,15%
4752006,"Nashville/Davidson, TN",," 719,552 ",Medium Fast," 299,313 ",Low,," 24,831 ",69%,31%, 235 , 34.5 , 3.3 ,8%
2255000,"New Orleans, LA",," 382,083 ",Limited or Decline," 107,591 ",Low,," 24,738 ",90%,10%, 223 , 64.7 , 5.8 ,23%
3651000,"New York, NY",," 8,688,059 ",Limited or Decline," 186,181 ",High,," 38,905 ",50%,50%," 4,289 ", 4.5 , 4.9 ,21%
3451000,"Newark, NJ",," 313,706 ",Medium Slow," 13,940 ",High,, 853 ,5%,95%, 99 , 2.7 , 3.2 ,6%
5157000,"Norfolk, VA",," 237,390 ",Limited or Decline," 32,779 ",Medium-High,," 1,792 ",13%,87%, 166 , 7.5 , 7.0 ,5%
3251800,"North Las Vegas, NV",," 283,177 ",Very Fast," 64,896 ",Medium-Low,," 16,929 ",94%,6%, 34 , 59.8 , 1.2 ,26%
0653000,"Oakland, CA",," 441,066 ",Medium Slow," 33,381 ",High,," 4,927 ",57%,43%, 163 , 11.2 , 3.7 ,15%
PS4055000,"Oklahoma City, OK",," 712,357 ",Medium Fast," 380,768 ",Low,," 25,801 ",67%,33%, 198 , 36.2 , 2.8 ,7%
PS3137000,"Omaha, NE",," 493,794 ",Medium Fast," 88,886 ",Medium-Low,," 10,336 ",58%,42%, 254 , 20.9 , 5.1 ,12%
1253000,"Orlando, FL",," 312,834 ",Very Fast," 63,259 ",Medium-Low,," 3,500 ",15%,85%, 127 , 11.2 , 4.1 ,6%
4260000,"Philadelphia, PA",," 1,598,945 ",Limited or Decline," 83,194 ",High,," 10,652 ",61%,39%, 495 , 6.7 , 3.1 ,13%
0455000,"Phoenix, AZ",," 1,634,270 ",Medium Fast," 328,457 ",Medium-Low,," 51,020 ",77%,23%, 234 , 31.2 , 1.4 ,16%
4261000,"Pittsburgh, PA",," 304,976 ",Limited or Decline," 35,353 ",Medium-High,," 4,175 ",77%,23%, -   , 13.7 , -   ,12%
4858016,"Plano, TX",," 289,490 ",Medium Fast," 45,886 ",Medium-Low,," 3,938 ",48%,52%, 136 , 13.6 , 4.7 ,9%
1258715,"Port St. Lucie, FL",," 227,603 ",Very Fast," 76,300 ",Low,," 2,722 ",78%,22%, 45 , 12.0 , 2.0 ,4%
4159000,"Portland, OR",," 656,129 ",Medium Fast," 82,228 ",Medium-High,," 14,342 ",61%,39%, 328 , 21.9 , 5.0 ,17%
3755000,"Raleigh, NC",," 483,074 ",Very Fast," 95,925 ",Medium-Low,," 10,791 ",82%,18%, 167 , 22.3 , 3.5 ,11%
3260600,"Reno, NV",," 271,456 ",Very Fast," 66,234 ",Medium-Low,," 3,373 ",76%,24%, 87 , 12.4 , 3.2 ,5%
5167000,"Richmond, VA",," 232,634 ",Medium Slow," 38,351 ",Medium-Low,," 2,794 ",20%,80%, 193 , 12.0 , 8.3 ,7%
0662000,"Riverside, CA",," 317,795 ",Medium Fast," 51,455 ",Medium-Low,," 3,976 ",82%,18%, 72 , 12.5 , 2.3 ,8%
PS0664000,"Sacramento, CA",," 531,007 ",Medium Fast," 62,439 ",Medium-High,," 6,090 ",42%,58%, 241 , 11.5 , 4.5 ,10%
4865000,"San Antonio, TX",," 1,445,114 ",Medium Fast," 316,297 ",Medium-Low,," 32,858 ",65%,35%, 292 , 22.7 , 2.0 ,10%
0666000,"San Diego, CA",," 1,396,256 ",Medium Slow," 206,371 ",Medium-Low,," 41,620 ",81%,19%, 434 , 29.8 , 3.1 ,20%
