FIPS,City Name,,Population,Adjusted Land Area (acres),,Density (People/ Acre),Density Classification,,2000 Population,Population Growth,Population Growth Classification,,,,,
3502000,"Albuquerque, NM",," 553,345 "," 113,711 ",, 4.9 ,Medium-Low,," 448,627 ",23%,Medium Fast,,,,,
0602000,"Anaheim, CA",," 345,538 "," 32,176 ",, 10.7 ,High,," 327,357 ",6%,Limited or Decline,,,,,
0203000,"Anchorage, AK",," 288,464 "," 1,087,624 ",, 0.3 ,Low,," 260,283 ",11%,Medium Slow,,,,,
4804000,"Arlington, TX",," 397,158 "," 60,824 ",, 6.5 ,Medium-Low,," 332,695 ",19%,Medium Fast,,,,,
5103000,"Arlington, VA",," 245,695 "," 15,918 ",, 15.4 ,High,," 189,453 ",30%,Medium Fast,,,,,
1304000,"Atlanta, GA",," 518,472 "," 85,564 ",, 6.1 ,Medium-Low,," 416,629 ",24%,Medium Fast,,,,,
0804000,"Aurora, CO",," 391,470 "," 105,266 ",, 3.7 ,Low,," 275,936 ",42%,Medium Fast,,,,,
4805000,"Austin, TX",," 973,671 "," 172,115 ",, 5.7 ,Medium-Low,," 656,302 ",48%,Very Fast,,,,,
0603526,"Bakersfield, CA",," 411,973 "," 95,768 ",, 4.3 ,Medium-Low,," 247,385 ",67%,Very Fast,,,,,
2404000,"Baltimore, MD",," 573,724 "," 51,319 ",, 11.2 ,High,," 651,154 ",-12%,Limited or Decline,,,,,
2205000,"Baton Rouge, LA",," 227,382 "," 55,041 ",, 4.1 ,Medium-Low,," 227,920 ",0%,Limited or Decline,,,,,
PS1608830,"Boise, ID",," 236,389 "," 52,046 ",, 4.5 ,Medium-Low,," 185,937 ",27%,Medium Fast,,,,,
2507000,"Boston, MA",," 684,994 "," 29,222 ",, 23.4 ,High,," 589,141 ",16%,Medium Slow,,,,,
3611000,"Buffalo, NY",," 281,655 "," 25,304 ",, 11.1 ,High,," 292,648 ",-4%,Limited or Decline,,,,,
0412000,"Chandler, AZ",," 279,357 "," 41,502 ",, 6.7 ,Medium-Low,," 176,338 ",58%,Very Fast,,,,,
PS3712000,"Charlotte/Mecklenburg, NC",," 1,170,986 "," 331,778 ",, 3.5 ,Low,," 695,454 ",68%,Very Fast,,,,,
5116000,"Chesapeake, VA",," 256,498 "," 216,010 ",, 1.2 ,Low,," 199,184 ",29%,Medium Fast,,,,,
1714000,"Chicago, IL",," 2,730,799 "," 136,157 ",, 20.1 ,High,," 2,895,964 ",-6%,Limited or Decline,,,,,
0613392,"Chula Vista, CA",," 277,559 "," 31,767 ",, 8.7 ,Medium-High,," 173,860 ",60%,Very Fast,,,,,
3915000,"Cincinnati, OH",," 308,576 "," 48,681 ",, 6.3 ,Medium-Low,," 330,662 ",-7%,Limited or Decline,,,,,
3916000,"Cleveland, OH",," 369,937 "," 46,894 ",, 7.9 ,Medium-High,," 478,393 ",-23%,Limited or Decline,,,,,
0816000,"Colorado Springs, CO",," 482,560 "," 125,688 ",, 3.8 ,Low,," 360,798 ",34%,Medium Fast,,,,,
3918000,"Columbus, OH",," 872,090 "," 137,266 ",, 6.4 ,Medium-Low,," 711,644 ",23%,Medium Fast,,,,,
4817000,"Corpus Christi, TX",," 319,188 "," 102,323 ",, 3.1 ,Low,," 277,569 ",15%,Medium Slow,,,,,
4819000,"Dallas, TX",," 1,307,764 "," 215,178 ",, 6.1 ,Medium-Low,," 1,188,204 ",10%,Medium Slow,,,,,
0820000,"Denver, CO",," 737,871 "," 74,662 ",, 9.9 ,High,," 554,636 ",33%,Medium Fast,,,,,
1921000,"Des Moines, IA",," 219,477 "," 55,103 ",, 4.0 ,Medium-Low,," 198,688 ",10%,Medium Slow,,,,,
2622000,"Detroit, MI",," 633,883 "," 87,833 ",, 7.2 ,Medium-High,," 951,270 ",-33%,Limited or Decline,,,,,
3719000,"Durham, NC",," 297,524 "," 74,948 ",, 4.0 ,Medium-Low,," 187,183 ",59%,Very Fast,,,,,
4824000,"El Paso, TX",," 677,078 "," 162,503 ",, 4.2 ,Medium-Low,," 564,280 ",20%,Medium Fast,,,,,
4827000,"Fort Worth, TX",," 959,408 "," 219,834 ",, 4.4 ,Medium-Low,," 535,420 ",79%,Very Fast,,,,,
0626000,"Fremont, CA",," 234,614 "," 49,927 ",, 4.7 ,Medium-Low,," 203,413 ",15%,Medium Slow,,,,,
0627000,"Fresno, CA",," 512,719 "," 72,537 ",, 7.1 ,Medium-High,," 427,224 ",20%,Medium Fast,,,,,
4829000,"Garland, TX",," 250,176 "," 36,377 ",, 6.9 ,Medium-Low,," 215,991 ",16%,Medium Slow,,,,,
0427400,"Gilbert, AZ",," 278,380 "," 43,915 ",, 6.3 ,Medium-Low,," 109,936 ",153%,Very Fast,,,,,
0427820,"Glendale, AZ",," 256,276 "," 42,928 ",, 6.0 ,Medium-Low,," 218,596 ",17%,Medium Slow,,,,,
PS3728000,"Greensboro, NC",," 276,193 "," 84,664 ",, 3.3 ,Low,," 223,299 ",24%,Medium Fast,,,,,
3231900,"Henderson, NV",," 340,256 "," 67,195 ",, 5.1 ,Medium-Low,," 176,048 ",93%,Very Fast,,,,,
PS1571550,"Honolulu, HI",," 1,017,394 "," 377,784 ",, 2.7 ,Low,," 875,784 ",16%,Medium Slow,,,,,
PS4835000,"Houston, TX",," 2,275,767 "," 351,870 ",, 6.5 ,Medium-Low,," 1,954,848 ",16%,Medium Slow,,,,,
0636770,"Irvine, CA",," 323,475 "," 41,991 ",, 7.7 ,Medium-High,," 143,034 ",126%,Very Fast,,,,,
4837000,"Irving, TX",," 259,205 "," 36,696 ",, 7.1 ,Medium-High,," 191,611 ",35%,Medium Fast,,,,,
1235000,"Jacksonville, FL",," 987,087 "," 464,885 ",, 2.1 ,Low,," 735,503 ",34%,Medium Fast,,,,,
3436000,"Jersey City, NJ",," 309,685 "," 9,231 ",, 33.5 ,High,," 240,055 ",29%,Medium Fast,,,,,
2938000,"Kansas City, MO",," 522,525 "," 191,333 ",, 2.7 ,Low,," 441,269 ",18%,Medium Slow,,,,,
