FIPS,Place Name,Agency Name,,Total Acres,Designed Acres,Natural &  Undeveloped Acres,Number Parks,,Non-parkland Acres
,,,,,,,,,
3502000,"Albuquerque, NM",Total,," 21,528 "," 3,163 "," 18,365 ", 315 ,, -   
3502000,"Albuquerque, NM",Albuquerque Parks and Recreation Department,91," 21,000 "," 2,975 "," 18,025 ", 315 ,, -   
3502000,"Albuquerque, NM",Bernalillo County Parks and Recreation Department (within Albuquerque),259, 528 , 188 , 340 , -   ,, -   
0602000,"Anaheim, CA",Total,," 4,611 ", 648 ," 3,963 ", 65 ,, 17 
0602000,"Anaheim, CA",Anaheim Community Services Department,325, 694 , 445 , 249 , 65 ,, -   
0602000,"Anaheim, CA",California Department of Parks and Recreation (within Anaheim),481, 675 , -   , 675 , -   ,, -   
0602000,"Anaheim, CA",Orange County Parks (within Anaheim),326," 3,242 ", 203 ," 3,039 ", -   ,, 17 
0203000,"Anchorage, AK",Total,," 871,795 "," 2,417 "," 869,378 ", 224 ,, -   
0203000,"Anchorage, AK",Alaska Fish and Game (within Anchorage),589, 521 , -   , 521 , -   ,, -   
0203000,"Anchorage, AK",Anchorage Parks and Recreation Department,344," 11,454 "," 2,417 "," 9,037 ", 224 ,, -   
0203000,"Anchorage, AK",BLM / National Park Service (within Anchorage),590," 175,849 ", -   ," 175,849 ", -   ,, -   
0203000,"Anchorage, AK",Chugach National Forest (within Anchorage),585," 226,736 ", -   ," 226,736 ", -   ,, -   
0203000,"Anchorage, AK",Chugach State Park (within Anchorage),367," 457,235 ", -   ," 457,235 ", -   ,, -   
4804000,"Arlington, TX",Total,," 4,317 "," 2,892 "," 1,425 ", 100 ,," 2,043 "
4804000,"Arlington, TX","Arlington, Texas, Parks and Recreation Department",87," 4,317 "," 2,892 "," 1,425 ", 100 ,," 2,043 "
5103000,"Arlington, VA",Total,," 1,785 ", 935 , 850 , 148 ,, -   
5103000,"Arlington, VA",Arlington County Department of Parks and Recreation,425, 950 , 411 , 539 , 148 ,, -   
5103000,"Arlington, VA","National Park Service (within Arlington, Virginia)",426, 700 , 450 , 250 , -   ,, -   
5103000,"Arlington, VA",Northern Virginia Regional Park Authority (within Arlington),468, 135 , 74 , 61 , -   ,, -   
1304000,"Atlanta, GA",Total,," 5,448 "," 3,921 "," 1,527 ", 378 ,, -   
1304000,"Atlanta, GA",Atlanta Beltline Incorporated (ABI),994, 422 , 422 , -   , -   ,, -   
1304000,"Atlanta, GA",Centennial Olympic Park (Atlanta),201, 21 , 21 , -   , -   ,, -   
1304000,"Atlanta, GA",City of Atlanta Department of Parks and Recreation,13," 4,450 "," 3,467 ", 983 , 378 ,, -   
1304000,"Atlanta, GA","DeKalb County Recreation, Parks & Cultural Affairs",979, 17 , -   , 17 , -   ,, -   
1304000,"Atlanta, GA",Department of Watershed Management,1009, 356 , 3 , 353 , -   ,, -   
1304000,"Atlanta, GA",Midtown Alliance,992, 2 , 2 , -   , -   ,, -   
1304000,"Atlanta, GA",National Park Service (within Atlanta),207, 160 , 6 , 154 , -   ,, -   
1304000,"Atlanta, GA",South Fork Conservancy,978, 20 , -   , 20 , -   ,, -   
0804000,"Aurora, CO",Total,," 8,684 "," 2,889 "," 5,795 ", 116 ,," 2,696 "
0804000,"Aurora, CO","Aurora Parks, Recreation and Open Space",436," 8,684 "," 2,889 "," 5,795 ", 116 ,," 2,696 "
4805000,"Austin, TX",Total,," 19,228 "," 4,482 "," 14,746 ", 345 ,, -   
4805000,"Austin, TX",City of Austin Parks and Recreation Department,60," 18,475 "," 4,251 "," 14,224 ", 345 ,, -   
4805000,"Austin, TX",Texas Parks and Wildlife Department (within Austin),113, 678 , 231 , 447 , -   ,, -   
4805000,"Austin, TX",Travis County Parks (within Austin),114, 75 , -   , 75 , -   ,, -   
0603526,"Bakersfield, CA",Total,," 5,364 "," 1,244 "," 4,120 ", 72 ,, -   
