city_name,city_pop,land_area,revised_area,parkland_area,designed_park_area,natural_park_area,parkland_percent,percent_designed_parks,percent_natural_parks,pop_density,parkland_per_1k_pop,park_units,park_units_per_10k_pop,percent_half_mile_walk
"Albuquerque, NM",573160,120147,116051,27018,2800,24218,0.232811436,10,90,4.94,47.13866983,297,5.181799149,0.87134
"Anaheim, CA",359171,31895,31890,4626,646,3980,0.145061148,14,86,11.26,12.87965899,70,1.948932403,0.66966
"Anchorage, AK",299100,1090997,1086019,914138,2417,911721,0.841732972,0,100,0.28,3056.295553,228,7.622868606,0.75091
"Arlington, TX",394539,61364,60876,4714,1831,2883,0.0774361,39,61,6.48,11.94812173,99,2.50925764,0.57782
"Arlington, VA",230112,16623,15878,1760,915,845,0.110845195,52,48,14.49,7.648449451,154,6.692393269,0.99004
"Atlanta, GA",498059,85217,84250,5293,3864,1429,0.062824926,73,27,5.91,10.627255,416,8.35242411,0.72447
"Aurora, CO",373444,99030,98788,10637,2291,8338,0.107675021,22,78,3.78,28.48352096,115,3.079444308,0.87767
"Austin, TX",971752,190656,186902,17694,3824,13870,0.094669934,22,78,5.2,18.20834946,292,3.004881904,0.59845
"Bakersfield, CA",386456,90985,90527,5355,1235,4120,0.059153623,23,77,4.27,13.85668744,77,1.99246486,0.46442
"Baltimore, MD",608997,51804,51318,4921,3124,1797,0.09589228,63,37,11.87,8.080499576,423,6.945847024,0.87369
"Baton Rouge, LA",236861,49246,48353,1436,987,449,0.029698261,69,31,4.9,6.062627448,85,3.588602598,0.54075
"Boise, ID",234844,50793,48343,4547,1855,2692,0.094057051,41,59,4.86,19.3617891,137,5.833659791,0.69058
"Boston, MA",687725,30897,29175,5072,2556,2516,0.173847472,50,50,23.57,7.375040896,373,5.423679523,0.9979
"Buffalo, NY",260727,25846,25308,1917,1681,236,0.075746799,88,12,10.3,7.352518151,214,8.207818906,0.89524
"Chandler, AZ",278303,41224,40941,1537,1281,256,0.037541828,83,17,6.8,5.52275757,67,2.407447997,0.6218
"Charlotte/Mecklenburg, NC",1105960,335258,346966,20953,11690,9263,0.06038915,56,44,3.19,18.94553148,250,2.260479583,0.36658
"Chesapeake, VA",248720,218112,216639,56560,880,55680,0.261079492,2,98,1.15,227.4043101,78,3.13605661,0.42969
"Chicago, IL",2744859,145686,136796,13609,8593,4430,0.099483903,66,34,20.07,4.744506002,645,2.349847479,0.9822
"Chula Vista, CA",274295,31764,31764,2475,544,1931,0.077918398,22,78,8.64,9.023132029,65,2.369711442,0.66925
"Cincinnati, OH",309137,49883,48724,6904,3306,3598,0.141696084,48,52,6.34,22.33314032,269,8.701643608,0.8231
"Cleveland, OH",377963,49726,46880,3170,1792,1378,0.067619454,57,43,8.06,8.387064342,179,4.735913304,0.83408
"Colorado Springs, CO",479619,124506,118043,11061,2451,8610,0.093703142,22,78,4.06,23.06205551,244,5.087371434,0.74267
"Columbus, OH",883875,138988,133309,11113,6121,4992,0.083362714,55,45,6.63,12.57304483,393,4.446330081,0.6769
"Corpus Christi, TX",334834,102791,100553,8589,3530,5059,0.08541764,41,59,3.33,25.65151687,195,5.823781336,0.75257
"Dallas, TX",1378903,217932,215676,20352,10974,9378,0.094363768,54,46,6.39,14.75955887,397,2.87910027,0.70911
"Denver, CO",730640,97920,74797,6307,4625,1682,0.084321564,73,27,9.77,8.632158108,298,4.078616008,0.90588
"Des Moines, IA",229062,51757,56255,7142,1590,4496,0.126957604,26,74,4.07,26.5692258,84,3.667129423,0.70252
"Detroit, MI",660960,88800,87844,5102,4000,1102,0.058080233,78,22,7.52,7.719075284,302,4.569111595,0.79997
"Durham, NC",275758,68717,68678,2665,269,2396,0.038804275,10,90,4.02,9.664270846,70,2.538457633,0.51166
"El Paso, TX",698613,163351,159763,31053,2866,28187,0.194369159,9,91,4.37,44.44950208,281,4.022255526,0.59304
"Fort Wayne, IN",n.a.,n.a.,n.a.,2400,,,0.034623042,#VALUE!,#VALUE!,n.a.,,n.a.,n.a.,n.a.
"Fort Worth, TX",906054,217484,214065,12323,6435,5888,0.057566627,14,6,4.23,13.60073461,289,3.189655363,0.60699
"Fremont, CA",230962,49574,49516,24454,1767,22687,0.49386057,6,6,4.66,105.8788892,70,3.030801604,0.69676
"Fresno, CA",530829,71652,71486,2957,1347,713,0.041364743,60,25,7.43,3.880722417,69,1.299853625,0.67487
"Garland, TX",248363,36534,36520,2639,1242,1397,0.072261774,18,45,6.8,10.62557627,62,2.496346074,0.62622
"Gilbert, AZ",266971,43496,43496,,483,508,,97,538,6.14,3.712013664,40,1.498290076,n.a.
"Glendale, AZ",248060,38385,38196,2149,964,1185,0.056262436,141,362,6.49,8.663226639,95,3.829718616,0.74845
"Greensboro, NC",291209,80970,80844,8359,3023,5336,0.103396665,16,0,3.6,28.70446999,177,6.07810885,0.62919
"Henderson, NV",309203,68948,68542,9163,1314,7787,0.133684456,3,574,4.51,29.43373771,67,2.166861253,0.595
"Hialeah, FL",237526,13728,13666,238,238,0,0.017415484,2078,9741,17.38,1.001995571,31,1.305120282,0.68627
"Honolulu, HI",1006142,384474,379885,57141,4945,52196,0.150416573,35,16,2.65,56.79218242,367,3.647596463,0.79242
"Houston, TX",2414978,383737,370271,43032,19849,23183,0.116217581,5,138,6.52,17.81879586,469,1.942046677,0.6074
"Indianapolis, IN",n.a.,n.a.,n.a.,11464,,,0.050733521,#VALUE!,#VALUE!,n.a.,,n.a.,n.a.,n.a.
"Irvine, CA",275161,42308,42308,11498,2161,9337,0.271768933,72,89,6.5,41.78644503,79,2.871046406,0.82229
"Irving, TX",247615,42891,37060,1962,1511,451,0.052941176,32,9,6.68,7.923591059,99,3.998142277,0.63862
"Jacksonville, FL",925142,478082,467298,67707,8240,59467,0.144890413,11,20,1.98,73.18552179,420,4.539843613,0.34806
"Jersey City, NJ",280263,9468,9261,1677,635,1042,0.181081957,60,118,30.26,5.983665343,71,2.533334761,0.93756
