city_name,City Population,"Land Area (acres, Census Bureau 2010)","Revised Area (acres, removes airports and railyards)","Density (people per acre, adjusted area)","Land Area (acres, Census Bureau 2010)",Adjusted City Area,Parkland Area (Acres),Parkland as percent of city area,Total Acres,Designed Acres,Natural & Undeveloped Acres ,Percent Designed,Percent Natural,"Parkland per 1,000 Residents",Park units,"Park Units per 10,000 Residents",Percent of Residents within Half-Mile Walk of Park
"Albuquerque, NM","573,160","120,147","116,051",4.94,120147,116051,27018,0.232811436,"27,018","2,800","24,218",10%,90%,47.13866983,297,5.181799149,0.87134
"Anaheim, CA","359,171","31,895","31,890",11.26,31895,31890,4626,0.145061148,"4,626",646,"3,980",14%,86%,12.87965899,70,1.948932403,0.66966
"Anchorage, AK","299,100","1,090,997","1,086,019",0.28,1090997,1086019,914138,0.841732972,"914,138","2,417","911,721",0%,100%,3056.295553,228,7.622868606,0.75091
"Arlington, TX","394,539","61,364","60,876",6.48,61364,60876,4714,0.0774361,"4,714","1,831","2,883",39%,61%,11.94812173,99,2.50925764,0.57782
"Arlington, VA","230,112","16,623","15,878",14.49,16623,15878,1760,0.110845195,"1,760",915,845,52%,48%,7.648449451,154,6.692393269,0.99004
"Atlanta, GA","498,059","85,217","84,250",5.91,85217,84250,5293,0.062824926,"5,293","3,864","1,429",73%,27%,10.627255,416,8.35242411,0.72447
"Aurora, CO","373,444","99,030","98,788",3.78,99030,98788,10637,0.107675021,"10,629","2,291","8,338",22%,78%,28.48352096,115,3.079444308,0.87767
"Austin, TX","971,752","190,656","186,902",5.20,190653,186902,17694,0.094669934,"17,694","3,824","13,870",22%,78%,18.20834946,292,3.004881904,0.59845
"Bakersfield, CA","386,456","90,985","90,527",4.27,90985,90527,5355,0.059153623,"5,355","1,235","4,120",23%,77%,13.85668744,77,1.99246486,0.46442
"Baltimore, MD","608,997","51,804","51,318",11.87,51804,51318,4921,0.09589228,"4,921","3,124","1,797",63%,37%,8.080499576,423,6.945847024,0.87369
"Baton Rouge, LA","236,861","49,246","48,353",4.90,49246,48353,1436,0.029698261,"1,436",987,449,69%,31%,6.062627448,85,3.588602598,0.54075
"Boise, ID","234,844","50,793","48,343",4.86,50793,48343,4547,0.094057051,"4,547","1,855","2,692",41%,59%,19.3617891,137,5.833659791,0.69058
"Boston, MA","687,725","30,897","29,175",23.57,30897,29175,5072,0.173847472,"5,072","2,556","2,516",50%,50%,7.375040896,373,5.423679523,0.9979
"Buffalo, NY","260,727","25,846","25,308",10.30,25846,25308,1917,0.075746799,"1,917","1,681",236,88%,12%,7.352518151,214,8.207818906,0.89524
"Chandler, AZ","278,303","41,224","40,941",6.80,41224,40941,1537,0.037541828,"1,537","1,281",256,83%,17%,5.52275757,67,2.407447997,0.6218
"Charlotte/Mecklenburg, NC","1,105,960","335,258","346,966",3.19,335259,346966.3,20953,0.06038915,"20,953","11,690","9,263",56%,44%,18.94553148,250,2.260479583,0.36658
"Chesapeake, VA","248,720","218,112","216,639",1.15,218112,216639,56560,0.261079492,"56,560",880,"55,680",2%,98%,227.4043101,78,3.13605661,0.42969
"Chicago, IL","2,744,859","145,686","136,796",20.07,145686,136796,13609,0.099483903,"13,023","8,593","4,430",66%,34%,4.744506002,645,2.349847479,0.9822
"Chula Vista, CA","274,295","31,764","31,764",8.64,31764,31764,2475,0.077918398,"2,475",544,"1,931",22%,78%,9.023132029,65,2.369711442,0.66925
"Cincinnati, OH","309,137","49,883","48,724",6.34,49883,48724,6904,0.141696084,"6,904","3,306","3,598",48%,52%,22.33314032,269,8.701643608,0.8231
"Cleveland, OH","377,963","49,726","46,880",8.06,49726,46880,3170,0.067619454,"3,170","1,792","1,378",57%,43%,8.387064342,179,4.735913304,0.83408
"Colorado Springs, CO","479,619","124,506","118,043",4.06,124506,118043,11061,0.093703142,"11,061","2,451","8,610",22%,78%,23.06205551,244,5.087371434,0.74267
"Columbus, OH","883,875","138,988","133,309",6.63,138988,133309,11113,0.083362714,"11,113","6,121","4,992",55%,45%,12.57304483,393,4.446330081,0.6769
"Corpus Christi, TX","334,834","102,791","100,553",3.33,102791,100553,8589,0.08541764,"8,589","3,530","5,059",41%,59%,25.65151687,195,5.823781336,0.75257
"Dallas, TX","1,378,903","217,932","215,676",6.39,217932,215676,20352,0.094363768,"20,352","10,974","9,378",54%,46%,14.75955887,397,2.87910027,0.70911
"Denver, CO","730,640","97,920","74,797",9.77,97920,74797,6307,0.084321564,"6,307","4,625","1,682",73%,27%,8.632158108,298,4.078616008,0.90588
"Des Moines, IA","229,062","51,757","56,255",4.07,58023,56255,7142,0.126957604,"6,086","1,590","4,496",26%,74%,26.5692258,84,3.667129423,0.70252
"Detroit, MI","660,960","88,800","87,844",7.52,88800,87844,5102,0.058080233,"5,102","4,000","1,102",78%,22%,7.719075284,302,4.569111595,0.79997
"Durham, NC","275,758","68,717","68,678",4.02,68717,68678,2665,0.038804275,"2,665",269,"2,396",10%,90%,9.664270846,70,2.538457633,0.51166
"El Paso, TX","698,613","163,351","159,763",4.37,163351,159763,31053,0.194369159,"31,053","2,866","28,187",9%,91%,44.44950208,281,4.022255526,0.59304
